day,time,groupName,address,city,district,codes
Sunday,6:30 AM,Keeping It Simple,3600 S. Clarkson (NE of Ch),Englewood,11,*n
Sunday,6:30 AM,No Mental Defense,1385 Carr St. (Ste 2),Lakewood,12,*n
Sunday,6:30 AM,Sunrise Serenity,"3355 S. Wadsworth #H125, 989-2816",Lakewood,30,*n
Sunday,6:45 AM,Upon Awakening,8817 S. Broadway (Ch),Highlands Ranch,11,*n
Sunday,7:00 AM,Attitude Adjustment,"1311 York St., 322-3674",Denver,13,n
Sunday,7:00 AM,Morning Reflection,5455 W. 38th Ave. Unit M,Wheat Ridge,12,*n
Sunday,7:00 AM,Rude Awakening,1117 Kimbark St.,Longmont,34,*n
Sunday,7:00 AM,Rude Rousing,1801 Sunset Pl. Ste B,Longmont,34,n
Sunday,7:30 AM,Boulder 11th Step,2425 Colorado Ave. (Ch),Boulder,24,ST*n
Sunday,7:30 AM,Early Bird,16732 E. Iliff (Shop. Ctr) 695-7766,Aurora,10,*n
Sunday,7:30 AM,Early Risers,10151 W. 26th Ave.(Restaurant),Wheat Ridge,31,*n
Sunday,7:30 AM,Fourth Dimension,10691 Melody Dr (Unit G),Northglenn,32,C*n
Sunday,7:30 AM,Morning After,3489 W. 72nd (Rm 104),Westminster,32,n
Sunday,7:30 AM,Spiritual Awakening,"3355 S. Wadsworth Blvd. #H-125, 989-2816",Lakewood,30,*n
Sunday,8:00 AM,AA Odrodzenie,2525 W. Evans Ave. (Polish 882-1038),Denver,19,nPol
Sunday,8:00 AM,Babble On,7964 S. Depew (Platte Canyon/Chatfield),Littleton,30,*n
Sunday,8:00 AM,Broomfield Sun. Morning,640 Main St. (Yellow Hs),Broomfield,32,*n
Sunday,8:00 AM,Dawn Patrol,1865 S. Pearl St.,Denver,13,*n
Sunday,8:00 AM,Old Town Group,5927 Miller St. (Ch),Arvada,31,C*n
Sunday,8:00 AM,The Basics,620 Elizabeth (Ch),Denver,13,*n
Sunday,8:00 AM,There is a Solution,23 Inverness Way East #150,Englewood,10,n
Sunday,8:30 AM,A New Day,"8250 W. 80th Ave. Unit 12, 303-420-6560",Arvada,31,Cn
Sunday,9:00 AM,231 Buckley,"15210 E 6th Ave, Unit 1, 343-4994",Aurora,10,*n
Sunday,9:00 AM,Big Book Workshop,10242 E. 16th Ave. (Upstairs) 366-3622,Aurora,16,BBn
